fullName,rating,jersey,team,bDay,height,weight,salary,country
DeAndre Bembry,73,95,Atlanta Hawks,07/04/1994,196,207,2603981,USA
Matt Thomas,72,21,Toronto Raptors,08/04/1994,193,197,898310,USA
Semi Ojeleye,73,37,Boston Celtics,12/05/1994,198,235,1618520,USA
Marcus Smart,82,36,Boston Celtics,03/06/1994,191,227,12553571,USA
Damyean Dotson,75,21,New York Knicks,05/06/1994,196,202,1618520,USA
Giannis Antetokounmpo,96,34,Milwaukee Bucks,12/06/1994,211,242,25842697,Greece
Jake Layman,75,10,Minnesota Timberwolves,03/07/1994,203,209,3581986,USA
Glenn Robinson III,74,22,Golden State Warriors,01/08/1994,198,211,1882867,USA
Michael Frazier,68,21,Houston Rockets,03/08/1994,191,200,79568,USA
Dario Saric,77,20,Phoenix Suns,04/08/1994,208,216,3481985,Croatia
Cameron Payne,72,0,Phoenix Suns,08/08/1994,188,180,346288,USA
Nerlens Noel,77,9,Oklahoma City Thunder,04/10/1994,208,206,1882867,USA
Jerami Grant,77,9,Denver Nuggets,03/12/1994,203,214,9346153,USA
Kristaps Porzingis,87,6,Dallas Mavericks,08/02/1995,221,220,27285000,Latvia
Brandon Goodwin,68,0,Atlanta Hawks,10/02/1995,183,180,522738,USA
Rondae Hollis-Jefferson,75,4,Toronto Raptors,01/03/1995,198,211,2500000,USA
Johnathan Motley,70,15,Los Angeles Clippers,05/04/1995,203,230,79568,USA
Trey Lyles,75,41,San Antonio Spurs,11/05/1995,206,241,5500000,Canada
Theo Pinson,69,0,New York Knicks,11/05/1995,196,220,1445697,USA
Josh Hart,75,3,New Orleans Pelicans,03/06/1995,196,204,1934160,USA
Jordan Bell,74,0,Cleveland Cavaliers,01/07/1995,203,224,1870564,USA
Cam Reynolds,69,13,Milwaukee Bucks,02/07/1995,201,225,79568,USA
Cedi Osman,75,16,Cleveland Cavaliers,04/08/1995,201,215,2907143,Turkey
Grayson Allen,72,3,Memphis Grizzlies,10/08/1995,193,205,2429400,USA
Kelly Oubre,78,3,Phoenix Suns,12/09/1995,201,203,15625000,USA
Bobby Portis,78,1,New York Knicks,02/10/1995,208,246,15000000,USA
Sterling Brown,73,23,Milwaukee Bucks,02/10/1995,196,230,1618520,USA
Zach LaVine,85,8,Chicago Bulls,03/10/1995,198,181,19500000,USA
Jonah Bolden,73,0,Phoenix Suns,01/02/1996,203,215,1788296,Australia
Cameron Johnson,72,23,Phoenix Suns,03/03/1996,203,210,4033440,USA
Domantas Sabonis,81,11,Indiana Pacers,05/03/1996,211,231,3529554,Lithuania
Eric Paschall,71,7,Golden State Warriors,11/04/1996,198,255,898310,USA
Emmanuel Mudiay,76,8,Utah Jazz,03/05/1996,191,190,1737145,Democratic Republic of the Congo
Kevon Looney,77,5,Golden State Warriors,02/06/1996,206,222,4464286,USA
Donovan Mitchell,88,45,Utah Jazz,09/07/1996,185,211,3635760,USA
Khyri Thomas,69,13,Detroit Pistons,05/08/1996,191,210,1416852,USA
Tyus Jones,73,21,Memphis Grizzlies,05/10/1996,183,185,10116000,USA
De'Andre Hunter,77,12,Atlanta Hawks,12/01/1997,201,225,7068360,USA
Brandon Ingram,81,14,New Orleans Pelicans,09/02/1997,201,196,7265485,USA
Jonathan Isaac,76,1,Orlando Magic,10/03/1997,211,205,5806440,USA
Ante Zizic,73,41,Cleveland Cavaliers,01/04/1997,208,250,2281800,Croatia
Matisse Thybulle,72,22,Philadelphia 76ers,03/04/1997,196,201,2582160,USA
Miye Oni,69,24,Utah Jazz,08/04/1997,196,210,898310,USA
Ty Jerome,72,10,Phoenix Suns,07/08/1997,196,195,2193480,USA
Josh Jackson,76,20,Memphis Grizzlies,02/10/1997,203,203,7059480,USA
Sviatoslav Mykhailiuk,70,19,Detroit Pistons,06/10/1997,201,205,1416852,Ukraine
